	_id	batch	cell_id	dnGenesSize	geo_id	pert_desc	pert_dose	pert_dose_unit	pert_id	pert_time	pert_time_unit	pert_type	pvalue	replicateCount	sigIdxSize	sig_id	upGenesSize
0	543dba63e4b0e6d1d5179810	CPC006_A375_24H	A375	275		HDAC6 inhibitor ISOX	10.0	um	BRD-K69840642	24.0	h	trt_cp	0.0	4	542	CPC006_A375_24H:BRD-K69840642:10.0	267
1	543dbbcfe4b0e6d1d517995c	CPC006_A375_6H	A375	97		HDAC6 inhibitor ISOX	10.0	um	BRD-K69840642	6.0	h	trt_cp	0.0	7	301	CPC006_A375_6H:BRD-K69840642:10.0	204
2	543dbc3de4b0e6d1d5179a0a	CPC006_A549_24H	A549	70		HDAC6 inhibitor ISOX	10.0	um	BRD-K69840642	24.0	h	trt_cp	0.0723	3	119	CPC006_A549_24H:BRD-K69840642:10.0	49
3	543dbcf8e4b0e6d1d5179be2	CPC006_A549_6H	A549	167		HDAC6 inhibitor ISOX	10.0	um	BRD-K69840642	6.0	h	trt_cp	0.0	4	392	CPC006_A549_6H:BRD-K69840642:10.0	225
4	543dbd3fe4b0e6d1d5179d2c	CPC006_A673_6H	A673	64		HDAC6 inhibitor ISOX	10.0	um	BRD-K69840642	6.0	h	trt_cp	0.0047	2	235	CPC006_A673_6H:BRD-K69840642:10.0	171
5	543dbd91e4b0e6d1d5179ede	CPC006_AGS_6H	AGS	108		HDAC6 inhibitor ISOX	10.0	um	BRD-K69840642	6.0	h	trt_cp	0.0017	2	278	CPC006_AGS_6H:BRD-K69840642:10.0	170
6	543dbdd8e4b0e6d1d517a00d	CPC006_CL34_6H	CL34	99		HDAC6 inhibitor ISOX	10.0	um	BRD-K69840642	6.0	h	trt_cp	0.0416	2	192	CPC006_CL34_6H:BRD-K69840642:10.0	93
7	543dbe1ce4b0e6d1d517a125	CPC006_CORL23_6H	CORL23	0		HDAC6 inhibitor ISOX	10.0	um	BRD-K69840642	6.0	h	trt_cp		1	False	CPC006_CORL23_6H:BRD-K69840642:10.0	0
8	543dbe67e4b0e6d1d517a2a5	CPC006_COV644_6H	COV644	0		HDAC6 inhibitor ISOX	10.0	um	BRD-K69840642	6.0	h	trt_cp		1	False	CPC006_COV644_6H:BRD-K69840642:10.0	0
9	543dbeb5e4b0e6d1d517a448	CPC006_DV90_6H	DV90	102		HDAC6 inhibitor ISOX	10.0	um	BRD-K69840642	6.0	h	trt_cp	0.0089	2	230	CPC006_DV90_6H:BRD-K69840642:10.0	128
10	543dbef9e4b0e6d1d517a569	CPC006_EFO27_6H	EFO27	157		HDAC6 inhibitor ISOX	10.0	um	BRD-K69840642	6.0	h	trt_cp	0.0007	2	278	CPC006_EFO27_6H:BRD-K69840642:10.0	121
11	543dbff1e4b0e6d1d517a6b2	CPC006_HA1E_24H	HA1E	236		HDAC6 inhibitor ISOX	10.0	um	BRD-K69840642	24.0	h	trt_cp	0.0	5	486	CPC006_HA1E_24H:BRD-K69840642:10.0	250
12	543dc0f8e4b0e6d1d517a8a0	CPC006_HA1E_6H	HA1E	155		HDAC6 inhibitor ISOX	10.0	um	BRD-K69840642	6.0	h	trt_cp	0.0	5	372	CPC006_HA1E_6H:BRD-K69840642:10.0	217
13	543dc17ce4b0e6d1d517aa5d	CPC006_HCC15_6H	HCC15	76		HDAC6 inhibitor ISOX	10.0	um	BRD-K69840642	6.0	h	trt_cp	0.0123	3	212	CPC006_HCC15_6H:BRD-K69840642:10.0	136
14	543dc2c8e4b0e6d1d517ab8e	CPC006_HCC515_24H	HCC515	286		HDAC6 inhibitor ISOX	10.0	um	BRD-K69840642	24.0	h	trt_cp	0.0	6	458	CPC006_HCC515_24H:BRD-K69840642:10.0	172
15	543dc371e4b0e6d1d517ac67	CPC006_HCC515_6H	HCC515	125		HDAC6 inhibitor ISOX	10.0	um	BRD-K69840642	6.0	h	trt_cp	0.0	4	236	CPC006_HCC515_6H:BRD-K69840642:10.0	111
16	543dc3bae4b0e6d1d517adc4	CPC006_HCT116_6H	HCT116	116		HDAC6 inhibitor ISOX	10.0	um	BRD-K69840642	6.0	h	trt_cp	0.0086	2	243	CPC006_HCT116_6H:BRD-K69840642:10.0	127
